stop_id,stop_code,stop_lat,stop_lon,location_type,wheelchair_boarding,name
3787,3787,52.134289,-106.634092,None,0,Innovation / Campus
3441,3441,52.161058,-106.645469,None,0,Assiniboine / Warman
4196,4196,52.118295,-106.575467,None,0,Degeer / Boychuk
3710,3710,52.196427,-106.643163,None,0,66th Street / Mitchelmore
4314,4314,52.142423,-106.670087,None,0,Idylwyld / 32nd Street
4293,4293,52.153072,-106.646973,None,0,Rupert / Hazen
4117,4117,52.121575,-106.723573,None,0,Clancy / Pendygrasse
3268,3268,52.15168,-106.679368,None,0,38th Street / Avenue G
4380,4380,52.175596,-106.657294,None,0,Miners / 2900-Block
4212,4212,52.108829,-106.736064,None,0,Dieppe / Haida
5631,5631,52.154583,-106.729021,None,0,West Hampton / Hargreaves
3021,3021,52.143736,-106.59462,None,0,115th Street / Prairie
3193,3193,52.137164,-106.705945,None,0,Avenue W / 29th Street
3202,3202,52.134858,-106.661014,None,0,2nd Avenue / 26th Street
3719,3719,52.085645,-106.623767,None,0,Stonebridge Mall
3634,3634,52.100143,-106.636467,None,0,Ruth / Ewart
3447,3447,52.143946,-106.724964,None,0,33rd Street / West Portal
3547,3547,52.122799,-106.651043,None,0,Temperance / 15th Street
3626,3626,52.100143,-106.637984,None,0,Ruth / Wiggins
Lawson,None,52.168402,-106.638461,1,0,Lawson Hub
4082,4082,52.156937,-106.715465,None,0,Hampton Circle / Henick
5829,5829,52.161924,-106.674087,None,0,Avenue C / Pakwa
3657,3657,52.133269,-106.705459,None,0,Rusholme / Avenue W
4210,4210,52.136848,-106.742645,None,0,Diefenbaker / Vanier
4216,4216,52.191736,-106.646073,None,0,64th Street / Millar
3819,3819,52.109474,-106.586864,None,0,McKercher / Tait
3104,3104,52.126261,-106.692432,None,0,20th Street / Avenue O
3841,3841,52.12431,-106.744483,None,0,McCormack / Heise
5603,5603,52.142966,-106.567237,None,0,Kenderdine / Vincent
3865,3865,52.118651,-106.61495,None,0,Main / Bateman
5743,5743,52.124502,-106.677845,None,0,19th Street / Avenue F
3352,3352,52.114869,-106.622921,None,0,8th Street / Preston
3485,3485,52.191475,-106.646629,None,0,Millar / 64th Street
4131,4131,52.111623,-106.646604,None,0,Clarence / 5th Street
5371,5371,52.147231,-106.575206,None,0,Lowe / Ludlow
3241,3241,52.143928,-106.670681,None,0,33rd Street / Idylwyld
3526,3526,52.143495,-106.726035,None,0,Confederation / 33rd Street
4190,4190,52.116498,-106.634791,None,0,Cumberland / Main
3629,3629,52.111685,-106.586852,None,0,McKercher / Tait Crescent
5466,5466,52.098991,-106.622826,None,0,Preston / 2400-Block
4188,4188,52.124075,-106.634548,None,0,Cumberland / Colony
3402,3402,52.151943,-106.644533,None,0,Alexandra / Hazen
5452,5452,52.100678,-106.55965,None,0,Pawlychenko / Slimmon
3164,3164,52.130544,-106.663699,None,0,23rd Street / 2nd Avenue
4058,4058,52.103387,-106.65661,None,0,Broadway / Hilliard
3545,3545,52.125269,-106.648419,None,0,Temperance / 17th Street
5869,5869,52.149956,-106.578577,None,0,Centennial Collegiate
3652,3652,52.12902,-106.710405,None,0,Witney / 22nd Street
3470,3470,52.121314,-106.681564,None,0,Avenue H / 17th Street
4008,4008,52.168362,-106.646862,None,0,Millar / 48th Street
3264,3264,52.147102,-106.703784,None,0,Richardson / Hnatyshyn
3124,3124,52.122627,-106.739006,None,0,Fairlight  / 3600 Block
3639,3639,52.10031,-106.640068,None,0,Ruth / Cairns
3230,3230,52.143777,-106.684173,None,0,33rd Street / Avenue J
3310,3310,52.137676,-106.652222,None,0,7th Avenue / King
5820,5820,52.099095,-106.609692,None,0,Arlington / 1500 East Heights
4247,4247,52.126734,-106.729183,None,0,Fairlight / Diefenbaker
3337,3337,52.114824,-106.637003,None,0,8th Street / Ewart
4282,4282,52.150693,-106.721567,None,0,37th Street / Nixon
3069,3069,52.12782,-106.723496,None,0,Fairlight / Fairmont
3260,3260,52.150368,-106.703844,None,0,37th Street / Hnatyshyn
4414,4414,52.130131,-106.598204,None,0,103rd Street / Central
3645,3645,52.178196,-106.632934,None,0,Russell / Meilicke
5844,5844,52.169279,-106.690798,None,0,Airport Station
4241,4241,52.143665,-106.604084,None,0,Egbert / 115th Street
3377,3377,52.120062,-106.599065,None,0,Acadia / Cronkite
4142,4142,52.123604,-106.64659,None,0,Clarence / Colony
3028,3028,52.10165,-106.670517,None,0,Lorne / Adelaide
4237,4237,52.139455,-106.604101,None,0,Egbert / 111th Street
5885,5885,52.102067,-106.567251,None,0,Herold / Pawlychenko
3176,3176,52.132374,-106.654917,None,0,25th Street / 6th Avenue
5714,5714,52.144139,-106.698748,None,0,Edmonton / 1800 Block
