index,postal_code,lat,lng,walkscore,da_id
3054,S7L 5E8,52.132500,-106.738500,47110363,43
3055,S7M 0T8,52.129500,-106.699500,47110562,80
3056,S7M 0T9,52.128000,-106.686000,47110570,83
3057,S7M 0T9,52.128000,-106.695000,47110566,79
3058,S7M 0T9,52.129500,-106.707000,47110559,77
3059,S7M 0T9,52.128000,-106.702500,47110560,78
3060,S7M 0T4,52.129500,-106.696500,47110564,80
3061,S7M 0T5,52.128000,-106.686000,47110570,83
3062,S7M 0T5,52.128000,-106.695000,47110566,79
3063,S7M 0T5,52.129500,-106.707000,47110559,77
3064,S7M 0T5,52.128000,-106.702500,47110560,78
3065,S7M 0T6,52.129500,-106.698000,47110562,80
3066,S7M 0T7,52.128000,-106.686000,47110570,83
3067,S7M 0T7,52.128000,-106.695000,47110566,79
3068,S7M 0T7,52.129500,-106.707000,47110559,77
3069,S7M 0T7,52.128000,-106.702500,47110560,78
3070,S7M 0T1,52.129500,-106.693500,47110566,80
3071,S7M 0T2,52.129500,-106.695000,47110566,79
3072,S7M 0T3,52.129500,-106.695000,47110566,79
3073,S7H 4S4,52.116000,-106.579500,47110469,38
3074,S7H 4S5,52.117500,-106.579500,47110469,43
3075,S7H 4S5,52.116000,-106.579500,47110469,38
3076,S7H 4S6,52.117500,-106.582500,47110123,44
3077,S7H 4S1,52.120500,-106.575000,47110288,31
3078,S7K 7G1,52.126500,-106.657500,47110066,93
3079,S7K 7G2,52.177500,-106.612500,47110470,23
3080,S7K 7G2,52.179000,-106.612500,47110327,18
3081,S7K 7G3,52.128000,-106.665000,47110065,99
3082,S7K 7G3,52.126500,-106.666500,47110066,97
3083,S7K 7G3,52.125000,-106.666500,47110066,98
3084,S7K 7G5,52.126500,-106.657500,47110066,93
3085,S7K 7G8,52.179000,-106.633500,47110031,48
3086,S7K 7G9,52.185000,-106.647000,47110691,25
3087,S7H 4S3,52.119000,-106.567500,47110460,18
3088,S7J 3L8,52.101000,-106.606500,47110669,52
3089,S7J 3L8,52.102500,-106.608000,47110155,51
3090,S7J 3L9,52.099500,-106.621500,47110162,74
3091,S7J 3L1,52.101000,-106.606500,47110669,52
3092,S7J 3L1,52.101000,-106.611000,47110157,61
3093,S7J 3L2,52.101000,-106.612500,47110157,63
3094,S7J 3L3,52.101000,-106.611000,47110157,61
3095,S7J 3L4,52.104000,-106.617000,47110461,73
3096,S7J 3L5,52.095000,-106.620000,47110153,50
3097,S7J 3L6,52.104000,-106.617000,47110461,73
3098,S7J 3L7,52.101000,-106.615500,47110157,72
3099,S7M 4H8,52.123500,-106.729500,47110436,41
3100,S7M 4H9,52.123500,-106.723500,47110435,52
3101,S7M 4H4,52.123500,-106.725000,47110436,55
